PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39789673,Psychological Distress and Problems Among Young and Middle-Aged Cancer Patients Undergoing Treatment in China.,2025-Jan,,,
39789641,Secreted LGALS3BP facilitates distant metastasis of breast cancer.,2025-Jan-09,"Jeesoo Kim, Jong-Seo Kim","Center for RNA Research, Institute for Basic Science, Seoul, Republic of Korea., Center for RNA Research, Institute for Basic Science, Seoul, Republic of Korea.",
39789640,Effect of daily alcohol intake on sex hormone levels among postmenopausal breast cancer survivors on aromatase inhibitor therapy: a randomized controlled crossover pilot study.,2025-Jan-09,"Elizabeth Mostofsky, Julie E Buring, Steven E Come, Nadine M Tung, Cancan Zhang, Kenneth J Mukamal","Department of Epidemiology (EM, JEB) and Nutrition (KJM), Harvard T.H. Chan School of Public Health, 677 Huntington Ave, Kresge 505-B, Boston, MA, 02115, USA. elm225@mail.harvard.edu., Department of Epidemiology (EM, JEB) and Nutrition (KJM), Harvard T.H. Chan School of Public Health, 677 Huntington Ave, Kresge 505-B, Boston, MA, 02115, USA., Department of Medicine (SEC, NMT, CZ, KJM), Beth Israel Deaconess Medical Center, Harvard Medical, School, Boston, MA, USA., Cancer Risk and Prevention Program and Breast Medical Oncology, Beth Israel Deaconess Medical Center, Harvard Medical, School, Boston, MA, USA., Department of Medicine (SEC, NMT, CZ, KJM), Beth Israel Deaconess Medical Center, Harvard Medical, School, Boston, MA, USA., Department of Epidemiology (EM, JEB) and Nutrition (KJM), Harvard T.H. Chan School of Public Health, 677 Huntington Ave, Kresge 505-B, Boston, MA, 02115, USA.",elm225@mail.harvard.edu.
39789615,SMAC-armed oncolytic virotherapy enhances the anticancer activity of PD1 blockade by modulating PANoptosis.,2025-Jan-09,,,
39789613,OSBPL3 modulates the immunosuppressive microenvironment and predicts therapeutic outcomes in pancreatic cancer.,2025-Jan-09,,,
39789606,Tumor metabolic regulators: key drivers of metabolic reprogramming and the promising targets in cancer therapy.,2025-Jan-09,,,
39789599,Histamine N-methyltransferase (HNMT) as a potential auxiliary biomarker for predicting adaptability to anti-HER2 drug treatment in breast cancer patients.,2025-Jan-09,Huey-En Tzeng,"Division of Hematology/Medical Oncology, Department of Medicine, Taichung Veterans General Hospital, Taichung City, Taiwan.",
39789555,Characterization and dosimetric predictors for absolute lymphocyte count changes during neoadjuvant chemoradiotherapy with or without pembrolizumab for esophageal squamous cell carcinoma: an analysis of a prospective cohort.,2025-Jan-09,,,
39789554,Effects of EGFR-TKIs combined with intracranial radiotherapy in EGFR-mutant non-small cell lung cancer patients with brain metastases: a retrospective multi-institutional analysis.,2025-Jan-09,,,
39789474,The expression of exosomal and cellular miRNAs in predicting oxaliplatin resistance in colorectal cancer cells: an in silico and in vitro study.,2025-Jan-09,,,
39789471,The burden of irritable bowel syndrome and functional dyspepsia in Poland: a cross-sectional study from West Pomeranian Voivodship.,2025-Jan-09,"Danuta Cembrowska-Lech, Konrad Podsiadło","Sanprobi sp. z o.o. sp. k, Kurza Stopka 5/c, Szczecin, 70-535, Poland., Sanprobi sp. z o.o. sp. k, Kurza Stopka 5/c, Szczecin, 70-535, Poland.",
39789445,Changes in muscle performance among older adults with myeloid malignancies engaging in a mobile health (mHealth) exercise intervention: a single arm pilot study.,2025-Jan-09,"Marielle Jensen-Battaglia, Po-Ju Lin, Chandrika Sanapala, Jason H Mendler, Jane Liesveld, Ying Wang, Elisabeth Hayward, Marissa LoCastro, Soroush Mortaz, Richard F Dunne, Karen Mustian, Kah Poh Loh","James P. Wilmot Cancer Institute, Rochester, New York, USA. marielle_jensenbattaglia@urmc.rochester.edu., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA., James P. Wilmot Cancer Institute, Rochester, New York, USA. kahpoh_loh@urmc.rochester.edu.",kahpoh_loh@urmc.rochester.edu.
39789407,ANXA10 sensitizes microsatellite instability-high colorectal cancer to anti-PD-1 immunotherapy via assembly of HLA-DR dimers by regulating CD74.,2025-Jan-10,,,
39789372,"Author Correction: Paris saponin VII, a Hippo pathway activator, induces autophagy and exhibits therapeutic potential against human breast cancer cells.",2025-Jan-09,,,
39789356,Oncolytic viruses expressing MATEs facilitate target-independent T-cell activation in tumors.,2025-Jan-09,"Malin Peter, Bettina Mundt, Arne Menze, Norman Woller, Valery Volk, Amanda M Ernst, Leon A Öhler, Steven R Talbot, Heiner Wedemeyer, Christine Falk, Friedrich Feuerhake, Thomas C Wirth, Florian Kühnel","Department of Gastroenterology, Hepatology, Infectious Diseases and Endocrinology, Hannover Medical School, Hannover, Germany., Department of Gastroenterology, Hepatology, Infectious Diseases and Endocrinology, Hannover Medical School, Hannover, Germany., Department of Gastroenterology, Hepatology, Infectious Diseases and Endocrinology, Hannover Medical School, Hannover, Germany., Department of Gastroenterology, Hepatology, Infectious Diseases and Endocrinology, Hannover Medical School, Hannover, Germany., Department of Pathology, Hannover Medical School, Hannover, Germany., Department of Gastroenterology, Hepatology, Infectious Diseases and Endocrinology, Hannover Medical School, Hannover, Germany., Department of Gastroenterology, Hepatology, Infectious Diseases and Endocrinology, Hannover Medical School, Hannover, Germany., Institute for Laboratory Animal Science, Hannover Medical School, 30625, Hannover, Germany., Department of Gastroenterology, Hepatology, Infectious Diseases and Endocrinology, Hannover Medical School, Hannover, Germany., Institute of Transplantation Immunology, Hannover Medical School, Hannover, Germany., Department of Pathology, Hannover Medical School, Hannover, Germany., Department of Gastroenterology, Hepatology, Infectious Diseases and Endocrinology, Hannover Medical School, Hannover, Germany., Department of Gastroenterology, Hepatology, Infectious Diseases and Endocrinology, Hannover Medical School, Hannover, Germany. kuehnel.florian@mh-hannover.de.",kuehnel.florian@mh-hannover.de.
39789336,Platinum nanoparticles in cancer therapy: chemotherapeutic enhancement and ROS generation.,2025-Jan-09,Ikhazuagbe Hilary Ifijen,"Department of Research Outreach, Rubber Research Institute of Nigeria, PMB 1049, Benin City, Edo State, Nigeria. ifijen.hilary@rrin.gov.ng.",ifijen.hilary@rrin.gov.ng.
39789298,Assessing body awareness and upper extremity functionality in breast cancer survivors with and without lymphedema: a comparative analysis with healthy controls.,2025-Jan-10,,,
39789280,Age Matters: Early-Onset Rectal Cancer Exhibits Higher Rates of Pathological Complete Response: A Retrospective Analysis of the Influence of Young Age on Treatment Success in Stage II-III Rectal Cancer.,2025-Jan-09,"Annaclara Sileo, Richard Sassun, Jyi Cheng Ng, Sara Aboelmaaty, Ibrahim A Gomaa, Giulio Mari, Nicholas P McKenna, Kristen K Rumer, Kellie L Mathis, David W Larson","Department of Colon and Rectal Surgery, Mayo Clinic, Rochester, MN, USA., Department of Colon and Rectal Surgery, Mayo Clinic, Rochester, MN, USA., Department of Colon and Rectal Surgery, Mayo Clinic, Rochester, MN, USA., Department of Colon and Rectal Surgery, Mayo Clinic, Rochester, MN, USA., Department of Colon and Rectal Surgery, Mayo Clinic, Rochester, MN, USA., Department of Laparoscopic and Oncological General Surgery, ASST Brianza, Desio Hospital, Desio, Italy., Department of Colon and Rectal Surgery, Mayo Clinic, Rochester, MN, USA., Department of Colon and Rectal Surgery, Mayo Clinic, Rochester, MN, USA., Department of Colon and Rectal Surgery, Mayo Clinic, Rochester, MN, USA., Department of Colon and Rectal Surgery, Mayo Clinic, Rochester, MN, USA. Larson.David2@mayo.edu.",Larson.David2@mayo.edu.
39789258,Understanding the Physiopathology of Pain Pathways for a Practical Approach of Cancer Pain Management.,2025-Jan-09,"Y Bohren, M Cachemaille, I D Timbolschi, C Perruchoud","Centre d'Evaluation et Traitement de la Douleur, Hôpitaux Civils de Colmar, Colmar, France. yohann.bohren@ch-colmar.fr., Clinique de la Douleur., Hôpital de La Tour, Geneva, Suisse., Centre d'Evaluation et Traitement de la Douleur, Hôpitaux Universitaires de Strasbourg, Strasbourg, France., Clinique de la Douleur., Hôpital de La Tour, Geneva, Suisse.",yohann.bohren@ch-colmar.fr.
