PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39782668,Drug Development.,2024 Dec,N/A,N/A,N/A
39782598,Drug Development.,2024 Dec,N/A,N/A,N/A
39782564,Drug Development.,2024 Dec,N/A,N/A,N/A
39782516,Drug Development.,2024 Dec,N/A,N/A,N/A
39782456,Drug Development.,2024 Dec,N/A,N/A,N/A
39782303,Outcomes of Immunotherapy Treatment in Sinonasal Mucosal Melanoma.,2025 Jan 9,N/A,N/A,N/A
39782258,Dementia Care Research and Psychosocial Factors.,2024 Dec,N/A,N/A,N/A
39782221,Dementia Care Research and Psychosocial Factors.,2024 Dec,N/A,N/A,N/A
39781954,Dementia Care Practice.,2024 Dec,N/A,N/A,N/A
39781891,Thymidine Phosphodiester Chemiluminescent Probe for Sensitive and Selective Detection of Ectonucleotide Pyrophosphatase 1.,2025 Jan 9,N/A,N/A,N/A
39781768,Dementia Care Practice.,2024 Dec,N/A,N/A,N/A
39781758,Life after Pelvic Exenteration for Rectal Cancer: The Patient and Carer Perspective on Long Term Consequences and Survivorship.,2025 Jan 9,N/A,N/A,N/A
39781750,Treatment of anterior rim fractures of the distal radius with an anterior rim plate: A retrospective study.,2025 Jan 9,N/A,N/A,N/A
39781742,Cardiovascular Disease and Cancer: A Dangerous Liaison.,2025 Jan 9,N/A,N/A,N/A
39781736,Utilizing Plant Phytoconstituents in Metal Oxide Nanoparticle Synthesis for Cancer Therapies.,2025 Jan 7,N/A,N/A,N/A
39781734,"Marine-Derived Compound Targeting mTOR and FGFR-2: A Promising Strategy for Breast, Lung, and Colorectal Cancer Therapy.",2025 Jan 7,N/A,N/A,N/A
39781724,A Novel Prognostic Risk Model Based on Oxidative Stress to Predict Survival and Improve Treatment Strategies in Stomach Adenocarcinoma.,2025 Jan 7,N/A,N/A,N/A
39781719,HDAC6: Tumor Progression and Beyond.,2025 Jan 7,N/A,N/A,N/A
39781718,CRISPR/Cas System: A Powerful Strategy to Improve Monogenic Human Diseases as Therapeutic Delivery; Current Applications and Challenges.,2025 Jan 7,N/A,N/A,N/A
39781713,New Insights into the Modifications and Bioactivities of Indole-3-Carboxaldehyde and its Derivatives as a Potential Scaffold for Drug Design: A Mini-Review.,2025 Jan 7,N/A,N/A,N/A
39781684,Computer-Aided Detection (CADe) and Segmentation Methods for Breast Cancer Using Magnetic Resonance Imaging (MRI).,2025 Jan 9,N/A,N/A,N/A
39781615,Recipient sex and donor leukemic cell characteristics determine leukemogenesis in patient-derived models.,2025 Jan 9,N/A,N/A,N/A
39781580,Metabolic dysfunction-associated steatotic liver disease and cancer risk: A cohort study.,2025 Jan 9,N/A,N/A,N/A
39781576,Patient and Caregiver Perceptions of Caregiving Contributions During Cancer Clinical Trials: A Mixed-Methods Study.,2025 Jan,N/A,N/A,N/A
39781573,Prognostic factors in patients with localized and metastatic alveolar rhabdomyosarcoma. A report from two studies and two registries of the Cooperative Weichteilsarkom Studiengruppe CWS.,2025 Jan,N/A,N/A,N/A
39781572,Pretreatment Fatigue in Breast Cancer Patients: Comparison With Healthy Controls and Associations With Biopsychosocial Variables.,2025 Jan,N/A,N/A,N/A
39781570,Exploring vimentin's role in breast cancer via PICK1 alternative polyadenylation and the miR-615-3p-PICK1 interaction.,2025 Jan-Feb,N/A,N/A,N/A
39781540,Trends and disparities in cardiovascular disease-related mortality among adults with myeloproliferative neoplasms in USA.,2025 Jan,N/A,N/A,N/A
39781520,PUF60 Promotes Chemoresistance Through Drug Efflux and Reducing Apoptosis in Gastric Cancer.,2025,N/A,N/A,N/A
39781519,Short-term outcomes after robot-assisted versus open radical cystectomy for bladder cancer in patients with diabetes mellitus: an analysis of the United States Nationwide Inpatient Sample of 2005-2018.,2025,N/A,N/A,N/A
39781516,Long-read structural and epigenetic profiling of a kidney tumor-matched sample with nanopore sequencing and optical genome mapping.,2025 Mar,N/A,N/A,N/A
39781476,Cerebral white matter damage in patients with end-stage kidney disease associates with cognitive impairment.,2025 Jan,N/A,N/A,N/A
39781466,S6K1 is a Targetable Vulnerability in Tumors Exhibiting Plasticity and Therapy Resistance.,2025,N/A,N/A,N/A
39781456,Cold atmospheric plasma potentiates ferroptosis via EGFR(Y1068)-mediated dual axes on GPX4 among triple negative breast cancer cells.,2025,N/A,N/A,N/A
39781447,Smad2 Cooperating with TGIF2 Contributes to EMT and Cancer Stem Cells Properties in Pancreatic Cancer via Co-Targeting SOX2.,2025,N/A,N/A,N/A
39781381,Anti-Mesothelin CAR-NK cells as a novel targeted therapy against cervical cancer.,2024,N/A,N/A,N/A
39781376,A case of pityriasis rubra pilaris secondary to ponatinib.,2025,N/A,N/A,N/A
39781373,A Behavioral Analysis of Factors That Influence Antibiotic Prescribing in Hospitals: A Metasynthesis of Reviews.,2025 Jan,N/A,N/A,N/A
39781360,Elucidating the Role of Estrogen Effects in Leukemia: Insights from Single-Cell RNA Sequencing and Mendelian Randomization.,2025,N/A,N/A,N/A
39781359,Uncovering the Role of ALDH1A2 in Prostate Cancer: Insights from Genetic and Expression Analyses.,2025,N/A,N/A,N/A
39781357,Distinct roles of small extracellular vesicles from resident and infiltrating macrophages on glioma growth and mobility.,2025,N/A,N/A,N/A
39781354,Sensitivity of renal cell carcinoma to cuproptosis: a bioinformatics analysis and experimental verification.,2025,N/A,N/A,N/A
39781353,Single-cell analysis unveils cell subtypes of acral melanoma cells at the early and late differentiation stages.,2025,N/A,N/A,N/A
39781348,LncRNA GATA3-AS1 Promotes Bladder Uroepithelial Cancer Progression by Stabilizing DDX5.,2025,N/A,N/A,N/A
39781347,ADAMTS7 Enhances Gastric Cancer Growth and Metastasis by Triggering the NF-κB Signaling Pathway.,2025,N/A,N/A,N/A
39781346,Radiation Therapy Improves Survival in Patients with Distant Metastatic Head and Neck Squamous Cell Carcinoma: A Retrospective Study.,2025,N/A,N/A,N/A
39781344,HIF-1α Mediated Regulation of Glioblastoma Malignant Phenotypes through CD47 Protein: Understanding Functions and Mechanisms.,2025,N/A,N/A,N/A
39781343,Research Progress of DNA Methylation Markers for Endometrial Carcinoma Diagnosis.,2025,N/A,N/A,N/A
39781342,The Clinical Prediction Value of the Ubiquitination Model Reflecting the Microenvironment Infiltration and Drug Sensitivity in Breast Cancer.,2025,N/A,N/A,N/A
39781339,Unlocking the Hidden Potential of Cancer Therapy Targeting Lysine Succinylation.,2025,N/A,N/A,N/A
39781313,Colorectal Cancer and Its Microenvironment: A Brief Review.,2024,N/A,N/A,N/A
39781295,New advances in noninvasive screening technology for colorectal cancer.,2025 Jan,N/A,N/A,N/A
39781294,Chemical cross-linking facilitates antigen uptake and presentation and provides improved protection from Mpox with a dual-antigen subunit vaccine.,2025 Jan,N/A,N/A,N/A
39781268,Milk and dairy products - a scoping review for Nordic Nutrition Recommendations 2023.,2024,N/A,N/A,N/A
39781264,PRMT5-Mediated ALKBH5 Methylation Promotes Colorectal Cancer Immune Evasion via Increasing CD276 Expression.,2025,N/A,N/A,N/A
39781239,Navigating the landscape of neoadjuvant immunotherapy for NSCLC: progress and controversies.,2025,N/A,N/A,N/A
39781204,Unusual outcome of treatment of thymoma with immunotherapy: case report.,2024,N/A,N/A,N/A
39781199,Current immunotherapy for thymic epithelial tumors: a narrative review.,2024,N/A,N/A,N/A
39781195,Human collagen type I‑based scaffold retains human‑derived fibroblasts in a patient‑derived tumor xenograft mouse model.,2025 Feb,N/A,N/A,N/A
39781179,Comparing the Artificial Intelligence Detection Models to Standard Diagnostic Methods and Alternative Models in Identifying Alzheimer's Disease in At-Risk or Early Symptomatic Individuals: A Scoping Review.,2024 Dec,N/A,N/A,N/A
39781138,"Serum Insulin, Insulin-Like Growth Factor-1, Testosterone and Lipid Profile Levels in Benign Prostatic Hyperplasia and Prostate Cancer at Diagnosis.",2024 Dec,N/A,N/A,N/A
39781047,Innovative breast cancer detection using a segmentation-guided ensemble classification framework.,2025 Jan,N/A,N/A,N/A
39781046,Computer modelling and vegetable bench test of a bipolar electrode array intended for use in high frequency irreversible electroporation treatment of skin cancer.,2025 Jan,N/A,N/A,N/A
39781038,Prognostic significance of MRD and its correlation with arsenic concentration in pediatric acute promyelocytic leukemia: a retrospective study by SCCLG-APL group.,2025,N/A,N/A,N/A
39780987,A Rare Case with Recurrent Abdominal Pain as the First Symptom: AL Amyloidosis with Colon Involvement Combined with Pulmonary Adenocarcinoma.,2025,N/A,N/A,N/A
39780959,A Novel Cell-Penetrating Peptide-Vascular Endothelial Growth Factor Small Interfering Ribonucleic Acid Complex That Mediates the Inhibition of Angiogenesis by Human Umbilical Vein Endothelial Cells and in an Ex Vivo Mouse Aorta Ring Model.,2025,N/A,N/A,N/A
39780938,A Systematic Review Uncovering Modifiable Influences on Statin Adherence.,2025,N/A,N/A,N/A
39780905,Functional Endoscopic Sinus Surgery in Management of Pott's Puffy Tumor in a Pregnant Woman: A Clinical Case Report and Literature Review.,2025 Jan,N/A,N/A,N/A
39780902,"Novel Copy Number Deletion Involving NUS1 Associated With Epilepsy, Tremor, and Intellectual Disability.",2025 Jan,N/A,N/A,N/A
39780846,New naphthalene-linked pyrazoline-thiazole hybrids as prominent antilung and antibreast cancer inhibitors.,2024,N/A,N/A,N/A
39780819,Surgeon specialty and surveillance after resection for non-small cell lung cancer.,2024 Dec,N/A,N/A,N/A
39780816,Clinicopathologic and genomic features associated with brain metastasis after resection of lung adenocarcinoma.,2024 Dec,N/A,N/A,N/A
39780771,Unveiling structural components of dibenzofuran-based MMP-12 inhibitors: a comparative classification-dependent analysis with molecular docking-based virtual screening and molecular dynamics simulation.,2025,N/A,N/A,N/A
39780769,In-silico-based lead optimization of hit compounds targeting mitotic kinesin Eg5 for cancer management.,2025,N/A,N/A,N/A
39780768,The potential of GPT-4 advanced data analysis for radiomics-based machine learning models.,2025 Jan-Dec,N/A,N/A,N/A
39780760,"""Applications of Machine Learning in Liposomal Formulation and Development"".",2025 Jan 9,N/A,N/A,N/A
39780756,Cardiovascular toxicity induced by TKIs in patients with chronic myeloid leukaemia: Are women and men different?,2025 Jan 9,N/A,N/A,N/A
39780749,On-treatment dynamics of circulating extracellular vesicles in the first-line setting of patients with advanced non-small cell lung cancer: the LEXOVE prospective study.,2025 Jan 9,N/A,N/A,N/A
39780686,Parkinsonism and Bilateral Facial Palsy after Chimeric Antigen Receptor T-Cell Therapy.,2025 Jan 9,N/A,N/A,N/A
39780649,Modulation of Donor in Purely Organic Triplet Harvesting AIE-TADF Photosensitizer for Image-guided Photodynamic Therapy.,2025 Jan 9,N/A,N/A,N/A
39780629,Faster Acquisition and Improved Image Quality of T2-Weighted Dixon Breast MRI at 3T Using Deep Learning: A Prospective Study.,2025 Jan,N/A,N/A,N/A
39780628,Radiofrequency Ablation for Recurrent Thyroid Cancers: 2025 Korean Society of Thyroid Radiology Guideline.,2025 Jan,N/A,N/A,N/A
39780617,Examining Lung Cancer Screening Uptake in the United States: Recent Research and Limitations of Public-Use Data.,2025 Jan 9,N/A,N/A,N/A
39780615,The Role of Double-Zero-Event Studies in Evidence Synthesis: Evaluating Robustness Using the Fragility Index.,2025 Feb,N/A,N/A,N/A
39780606,"A simple, cost-efficient stability-indicating RP-HPLC method for simultaneous estimation of embelin and piperine for routine analysis of marketed polyherbal capsules and tablets.",2025 Jan 9,N/A,N/A,N/A
39780583,Decoding impact of human papillomavirus in gynecological oncology: a narrative review.,2025 Jan 9,N/A,N/A,N/A
39780527,Trends in cutaneous melanoma mortality and incidence in European Union 15+ countries between 1990 and 2019.,2025 Jan 8,N/A,N/A,N/A
39780503,"Introduction to androgenetics: terminology, approaches, and impactful studies across 60 years.",2025 Jan 8,N/A,N/A,N/A
39780472,"Cancer Incidence Among People With a Prior Hospital Record of Depression in Scotland, 1991-2019: A Cohort Study.",2025 Jan,N/A,N/A,N/A
39780471,Study on the Transformation Process of Thyroid Fine-Needle Aspiration Liquid-Based Cytology to Whole-Slide Image.,2025 Jan 8,N/A,N/A,N/A
39780463,Long non-coding RNA LINC01224 plays an oncogenic role in endometrial cancer via miR-4673/TPX2 axis and activating Wnt/β-catenin signaling pathway.,2025 Jan-Feb,N/A,N/A,N/A
39780462,Income and Insurance-Based Disparities in Primary Soft Tissue Sarcoma of the Extremities.,2025 Jan 8,N/A,N/A,N/A
39780451,Reducing Postoperative Opioid Use: A Comparison of Open Versus Ultrasound-Guided Regional Anesthesia for Patients Undergoing Open Pancreatoduodenectomy.,2025 Jan 8,N/A,N/A,N/A
39780444,Statistical methods to adjust for the effects on intervention compliance in randomized clinical trials where precision treatment rules are being developed.,2025 Mar,N/A,N/A,N/A
39780435,Feasible approaches for arsenic speciation analysis in foods for dietary exposure assessment: a review.,2025 Jan 8,N/A,N/A,N/A
39780416,Persistent Alopecic Plaque on the Scalp in a Woman with Breast Cancer: A Quiz.,2025 Jan 8,N/A,N/A,N/A
39780394,"Contribution of Travelers to Plasmodium Vivax Malaria in South West Delhi, India: Cross-Sectional Survey.",2025 Jan 8,N/A,N/A,N/A
39780386,Morphological Features Influence the Drug Loading and Delivery Efficacy of Photoactivatable Gold Nanocarriers for Antitumor Photo/Chemotherapy.,2025 Jan 8,N/A,N/A,N/A
39780377,Pediatric Hematology-Oncology or Pediatric Hematology and Pediatric Oncology: A Need for Further Discussion.,2025 Jan 8,N/A,N/A,N/A
